,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,numPixelsOrig,numPixelsSub
62,4.452965,1.987707,7500,17301,2500,0,50,50,0,0,7,7,2500,0
125,3.659489,1.999519,30000,69601,10000,0,100,100,0,0,7,7,10000,0
148,3.71813,1.988869,67500,156901,22500,0,150,150,0,0,7,7,22500,0
171,3.747806,2.015116,120000,279201,40000,0,200,200,0,0,7,7,40000,0
24,4.712192,2.015059,120000,279201,40000,0,200,200,0,0,7,7,40000,0
194,3.692984,2.017925,187500,436501,62500,0,250,250,0,0,7,7,62500,0
206,3.75671,2.010057,270000,628801,90000,0,300,300,0,0,7,7,90000,0
219,3.778509,1.997414,367500,856101,122500,0,350,350,0,0,7,7,122500,0
231,3.771321,2.018516,480000,1118401,160000,0,400,400,0,0,7,7,160000,0
132,3.816516,2.023571,480000,1118401,160000,0,400,400,0,0,7,7,160000,0
244,3.806736,1.994229,607500,1415701,202500,0,450,450,0,0,7,7,202500,0
6,4.356006,2.090318,750000,1748001,250000,0,500,500,0,0,7,7,250000,0
18,4.36593,1.983678,907500,2115301,302500,0,550,550,0,0,7,7,302500,0
32,4.514059,1.970614,1080000,2517601,360000,0,600,600,0,0,7,7,360000,0
158,3.820823,1.995002,1080000,2517601,360000,0,600,600,0,0,7,7,360000,0
44,4.534532,2.055448,1267500,2954901,422500,0,650,650,0,0,7,7,422500,0
57,4.411996,2.041567,1470000,3427201,490000,0,700,700,0,0,7,7,490000,0
70,4.423281,1.986542,1687500,3934501,562500,0,750,750,0,0,7,7,562500,0
184,3.702233,2.007587,1920000,4476801,640000,0,800,800,0,0,7,7,640000,0
83,8.742084,3.967956,1920000,4476801,640000,0,800,800,0,0,7,7,640000,0
95,4.615556,2.008138,2167500,5054101,722500,0,850,850,0,0,7,7,722500,0
108,3.689853,2.019716,2430000,5666401,810000,0,900,900,0,0,7,7,810000,0
120,3.655431,2.013020,2707500,6313701,902500,0,950,950,0,0,7,7,902500,0
191,3.718462,1.996536,3000000,6996001,1000000,0,1000,1000,0,0,7,7,1000000,0
123,3.637492,2.017286,3000000,6996001,1000000,0,1000,1000,0,0,7,7,1000000,0
126,3.662475,2.006872,3307500,7713301,1102500,0,1050,1050,0,0,7,7,1102500,0
128,3.66451,2.011203,3630000,8465601,1210000,0,1100,1100,0,0,7,7,1210000,0
130,3.651702,2.028985,3967500,9252901,1322500,0,1150,1150,0,0,7,7,1322500,0
203,3.835917,2.033524,4320000,10075201,1440000,0,1200,1200,0,0,7,7,1440000,0
133,3.787539,1.994895,4320000,10075201,1440000,0,1200,1200,0,0,7,7,1440000,0
135,3.789173,2.018298,4687500,10932501,1562500,0,1250,1250,0,0,7,7,1562500,0
137,3.784683,2.004529,5070000,11824801,1690000,0,1300,1300,0,0,7,7,1690000,0
139,3.779284,2.002464,5467500,12752101,1822500,0,1350,1350,0,0,7,7,1822500,0
141,3.902542,1.974979,5880000,13714401,1960000,0,1400,1400,0,0,7,7,1960000,0
216,4.228537,1.832976,5880000,13714401,1960000,0,1400,1400,0,0,7,7,1960000,0
143,4.137192,2.113332,6307500,14711701,2102500,0,1450,1450,0,0,7,7,2102500,0
145,3.84381,1.985982,6750000,15744001,2250000,0,1500,1500,0,0,7,7,2250000,0
147,3.815487,2.013879,7207500,16811301,2402500,0,1550,1550,0,0,7,7,2402500,0
150,3.752313,2.007930,7680000,17913601,2560000,0,1600,1600,0,0,7,7,2560000,0
228,3.806715,2.017775,7680000,17913601,2560000,0,1600,1600,0,0,7,7,2560000,0
