,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,X,Y,numPixelsOrig,numPixelsSub,index
24,0.017803,0.007758,4386958,0,0,2731475,10000,10000,9938,158,0,0,54,6473,100000000,1570204,546473
77,0.017831,0.007019,2575438,0,0,2473469,10000,10000,1966,33,0,0,118,9525,100000000,64878,1189525
63,0.023273,0.009949,4709750,0,0,3620633,10000,10000,1111,890,0,0,138,8439,100000000,988790,1388439
31,0.072615,0.027470,16501278,0,0,9707122,10000,10000,9386,716,0,0,156,8022,100000000,6720376,1568022
54,0.038965,0.015416,7548554,0,0,6211333,10000,10000,5069,167,0,0,247,8057,100000000,846523,2478057
55,0.467649,0.195056,66519570,0,0,35936258,10000,10000,7902,3812,0,0,432,2824,100000000,30122424,4322824
48,0.132095,0.055065,23338310,0,0,15546983,10000,10000,5848,1273,0,0,444,2595,100000000,7444504,4442595
34,0.254728,0.107903,47092948,0,0,26914877,10000,10000,6698,2882,0,0,473,1115,100000000,19303636,4731115
22,0.091655,0.039542,17869588,0,0,13070871,10000,10000,1695,2716,0,0,567,5481,100000000,4603620,5675481
110,0.240471,0.101632,43983868,0,0,27162667,10000,10000,8874,1848,0,0,634,1730,100000000,16399152,6341730
28,0.080341,0.031316,15321588,0,0,11324540,10000,10000,591,4921,0,0,721,1065,100000000,2908311,7211065
79,0.079796,0.031954,13208346,0,0,11802877,10000,10000,120,2900,0,0,732,771,100000000,348000,7320771
11,0.11464,0.049090,21330690,0,0,18236501,10000,10000,2273,1274,0,0,867,4846,100000000,2895802,8674846
93,0.128266,0.055225,23447198,0,0,19950710,10000,10000,6388,519,0,0,867,6216,100000000,3315372,8676216
83,0.084634,0.036518,16074304,0,0,12730523,10000,10000,691,4611,0,0,870,4070,100000000,3186201,8704070
56,0.303393,0.126840,54723334,0,0,32760226,10000,10000,4333,4933,0,0,1065,1138,100000000,21374689,10651138
42,0.148103,0.064357,27004682,0,0,24290783,10000,10000,3566,723,0,0,1162,7405,100000000,2578218,11627405
96,0.202379,0.087160,36989222,0,0,30199793,10000,10000,6323,1064,0,0,1309,6648,100000000,6727672,13096648
1,0.199488,0.083103,30651984,0,0,28771509,10000,10000,282,5,0,0,1345,896,100000000,1410,13450896
52,0.214086,0.089142,40537918,0,0,32122534,10000,10000,6504,1284,0,0,1359,7171,100000000,8351136,13597171
53,0.165541,0.071101,28634622,0,0,26271154,10000,10000,1227,1720,0,0,1443,4359,100000000,2110440,14434359
69,0.759122,0.323258,112564682,0,0,58105473,10000,10000,6138,8753,0,0,1460,1051,100000000,53725914,14601051
8,0.152887,0.066197,31034610,0,0,28769749,10000,10000,1612,1192,0,0,1504,3707,100000000,1921504,15043707
10,0.153795,0.066041,28674352,0,0,27012157,10000,10000,700,1794,0,0,1544,3372,100000000,1255800,15443372
2,0.230388,0.098532,45502076,0,0,28623260,10000,10000,2583,6223,0,0,1554,1209,100000000,16074009,15541209
43,0.198244,0.085738,33403436,0,0,31721618,10000,10000,3556,401,0,0,1564,5499,100000000,1425956,15645499
64,0.275838,0.118055,50649804,0,0,32255266,10000,10000,2870,5814,0,0,1655,878,100000000,16686180,16550878
80,0.506925,0.200274,77699738,0,0,46583340,10000,10000,5622,5520,0,0,1725,3745,100000000,31033440,17253745
45,0.314735,0.135924,58713090,0,0,44333980,10000,10000,6740,2133,0,0,1903,4630,100000000,14376420,19034630
104,0.289293,0.121638,42139354,0,0,39247822,10000,10000,2475,1005,0,0,2020,6224,100000000,2487375,20206224
86,0.265781,0.104135,38068098,0,0,37277124,10000,10000,489,1328,0,0,2103,3755,100000000,649392,21033755
39,0.344299,0.147255,58901176,0,0,47559619,10000,10000,6362,1758,0,0,2196,7402,100000000,11184396,21967402
90,0.280455,0.117567,46127848,0,0,45286824,10000,10000,2465,326,0,0,2296,9099,100000000,803590,22969099
71,0.286717,0.123486,54500140,0,0,44717800,10000,10000,3611,2430,0,0,2307,1432,100000000,8774730,23071432
66,0.403291,0.158211,74463076,0,0,54053919,10000,10000,6534,3062,0,0,2424,2244,100000000,20007108,24242244
105,0.343654,0.146007,57276490,0,0,51292516,10000,10000,5956,996,0,0,2515,6695,100000000,5932176,25156695
67,0.323271,0.134841,61019284,0,0,50071643,10000,10000,4516,2319,0,0,2546,3628,100000000,10472604,25463628
30,0.598741,0.215992,86703552,0,0,50793299,10000,10000,5053,7080,0,0,2547,1735,100000000,35775240,25471735
25,0.325575,0.141896,61332384,0,0,50788518,10000,10000,3838,2541,0,0,2697,2705,100000000,9752358,26972705
94,0.344824,0.147025,56157880,0,0,54753126,10000,10000,2920,187,0,0,2717,9547,100000000,546040,27179547
33,0.313344,0.134196,58913982,0,0,44536166,10000,10000,3019,4488,0,0,2735,1119,100000000,13549272,27351119
87,0.520463,0.201937,70555454,0,0,53264641,10000,10000,4677,3635,0,0,2825,2963,100000000,17000895,28252963
50,0.291553,0.124968,60349510,0,0,57753360,10000,10000,3322,649,0,0,2948,8908,100000000,2155978,29488908
46,0.298622,0.127213,55891976,0,0,50734776,10000,10000,1905,2344,0,0,2976,1555,100000000,4465320,29761555
62,0.392831,0.150927,68282450,0,0,59921878,10000,10000,6167,1343,0,0,2977,5786,100000000,8282281,29775786
82,0.338307,0.144038,57828042,0,0,56448851,10000,10000,1567,764,0,0,2980,8569,100000000,1197188,29808569
61,0.322983,0.137119,58471994,0,0,51453397,10000,10000,2411,2806,0,0,3087,6434,100000000,6765266,30876434
81,0.378716,0.121374,59918282,0,0,59301659,10000,10000,981,620,0,0,3127,8130,100000000,608220,31278130
84,0.491253,0.207672,83414006,0,0,61530688,10000,10000,5704,3821,0,0,3207,4424,100000000,21794984,32074424
41,0.408086,0.174791,71232606,0,0,62050068,10000,10000,4976,1766,0,0,3209,7649,100000000,8787616,32097649
