#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       1.864547	       0.650512	      200000000	              0	              0	      100000001	          10000	          10000	          10000	          10000
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.414362	       0.136190	       50000000	              0	              0	       25000001	          10000	          10000	           5000	           5000
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.008908	       0.002937	        2000000	              0	              0	        1000001	          10000	          10000	           1000	           1000
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.418362	       0.138048	       51005000	              0	              0	       25502501	          10000	          10000	           5050	           5050
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.456104	       0.155012	       52020000	              0	              0	       26010001	          10000	          10000	           5100	           5100
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.399289	       0.135391	       53045000	              0	              0	       26522501	          10000	          10000	           5150	           5150
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.413534	       0.148481	       54080000	              0	              0	       27040001	          10000	          10000	           5200	           5200
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.002364	       0.000811	         500000	              0	              0	         250001	          10000	          10000	            500	            500
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.438703	       0.118646	       55125000	              0	              0	       27562501	          10000	          10000	           5250	           5250
# FOUND (0,0)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2
       0.421196	       0.145349	       56180000	              0	              0	       28090001	          10000	          10000	           5300	           5300
