comparisons,width2,height2
2007752,324,3502
2838503,919,273
9707122,9386,716
5358276,945,2225
47861954,5542,8525
14486760,3504,3330
6211333,5069,167
12181868,5248,1318
12456798,3553,1750
35936258,7902,3812
11615267,3906,855
12389341,8332,332
14475090,6178,673
9349226,89,2851
11909360,704,1911
51979725,5966,8178
21658813,8569,965
16205154,562,838
18236501,2273,1274
12730523,691,4611
20531667,2475,2840
16405405,1364,5089
32760226,4333,4933
10165551,72,5563
23805416,4802,545
24290783,3566,723
27429529,8096,591
29771386,7798,824
28771509,282,5
32122534,6504,1284
29066788,3943,1102
58105473,6138,8753
28769749,1612,1192
30183156,2378,1608
31721618,3556,401
32255266,2870,5814
57803977,6312,7969
30572753,2197,2921
17664709,553,5936
27059851,237,3135
44333980,6740,2133
38499410,194,320
38658071,3718,4924
40776537,2352,375
45698632,6730,1458
47559619,6362,1758
44717800,3611,2430
54053919,6534,3062
46365375,1485,1261
50071643,4516,2319
63416237,7189,5271
54753126,2920,187
53264641,4677,3635
57380464,6310,434
52842239,56,821
55996524,3542,1550
59921878,6167,1343
59608958,4751,434
60677359,6045,780
51858044,4956,8227
58400959,5024,4163
62050068,4976,1766
63770358,4020,487
62310035,2602,957
67175279,597,54
62186658,5685,5685
68245592,5236,1130
67236530,292,451
49901576,4567,8426
54040536,2742,4294
67217854,5869,4221
61993140,320,1749
74044814,5256,669
65354400,667,1745
36070640,1592,6929
59598858,3399,4775
81470088,5143,610
82151770,1513,329
78766425,323,813
56046076,1603,4268
54836414,69,3674
86193550,4859,511
70003979,4043,4158
72695132,5294,4914
66702248,376,2870
82619406,2420,1456
48390271,581,5109
84510614,2718,1636
39795434,450,6131
94920180,2120,252
78046004,970,2343
25560907,122,7645
78213919,1945,2759
91965153,2178,1126
80206527,3603,3301
99502992,1112,461
95682625,2966,1187
102124874,1854,703
71924211,3364,4703
69127558,1308,4089
95164432,2391,1753
97609314,651,1250
106160614,3622,770
45297487,598,6357
105338404,2974,1060
106853352,2448,1189
103202823,548,1349
59282075,2630,6492
60209949,3009,6749
106783508,884,1484
115283344,894,832
108807372,2014,1676
111726864,1375,1360
62721237,1311,5737
113438146,1258,1435
115482297,1610,1332
130972269,1694,95
120724915,1777,945
108670274,1360,2113
115684012,19,1449
67066248,1195,5591
103770237,821,2582
118321667,1896,1756
110245655,1308,2500
21260826,1763,9720
138541373,2072,648
115840112,760,2246
104314250,776,3214
55705023,2239,7446
135464800,1700,1490
119367393,1044,2724
114383490,101,2906
108810652,286,3489
125829307,1136,2652
112108050,1149,3597
112454575,906,3569
134482854,8,2148
121715494,1106,3152
31534428,391,8370
150065099,189,1502
75155356,375,5846
111560710,976,4027
169095566,359,670
174968189,634,387
135690076,197,2686
179314478,595,318
151850589,607,2045
178233597,283,714
34504656,112,8306
151628199,41,2201
