,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,X,Y,numPixelsOrig,numPixelsSub,index
24,0.017803,0.007758,4386958,0,0,2731475,10000,10000,9938,158,0,0,54,6473,100000000,1570204,546473
260,0.012511,0.005239,3146456,0,0,2007752,10000,10000,324,3502,0,0,66,5589,100000000,1134648,665589
77,0.017831,0.007019,2575438,0,0,2473469,10000,10000,1966,33,0,0,118,9525,100000000,64878,1189525
291,0.018391,0.007761,3108936,0,0,2838503,10000,10000,919,273,0,0,131,9666,100000000,250887,1319666
63,0.023273,0.009949,4709750,0,0,3620633,10000,10000,1111,890,0,0,138,8439,100000000,988790,1388439
31,0.072615,0.027470,16501278,0,0,9707122,10000,10000,9386,716,0,0,156,8022,100000000,6720376,1568022
264,0.675442,0.285393,109223320,0,0,55189517,10000,10000,8447,6380,0,0,159,2117,100000000,53891860,1592117
246,0.041301,0.017500,7741154,0,0,5358276,10000,10000,945,2225,0,0,191,2482,100000000,2102625,1912482
276,0.172982,0.072086,31518830,0,0,17050127,10000,10000,4309,3324,0,0,193,2050,100000000,14323116,1932050
135,0.618617,0.258206,95139442,0,0,47861954,10000,10000,5542,8525,0,0,197,1460,100000000,47245550,1971460
178,0.585392,0.247884,94391280,0,0,48110109,10000,10000,8281,5573,0,0,206,2300,100000000,46150013,2062300
203,0.132304,0.056096,26173852,0,0,14486760,10000,10000,3504,3330,0,0,209,5594,100000000,11668320,2095594
121,0.027855,0.011307,4204048,0,0,4053928,10000,10000,51,1719,0,0,235,5633,100000000,87669,2355633
54,0.038965,0.015416,7548554,0,0,6211333,10000,10000,5069,167,0,0,247,8057,100000000,846523,2478057
139,0.641677,0.268031,79167840,0,0,40693042,10000,10000,6479,5938,0,0,272,3985,100000000,38472302,2723985
192,0.105838,0.044115,19211174,0,0,12181868,10000,10000,5248,1318,0,0,296,6112,100000000,6916864,2966112
126,0.031475,0.012737,5671816,0,0,5485570,10000,10000,44,1841,0,0,324,5821,100000000,81004,3245821
199,0.09646,0.031978,19117382,0,0,12456798,10000,10000,3553,1750,0,0,351,2005,100000000,6217750,3512005
158,0.364304,0.153199,67306460,0,0,36017197,10000,10000,8992,3442,0,0,360,2726,100000000,30950464,3602726
55,0.467649,0.195056,66519570,0,0,35936258,10000,10000,7902,3812,0,0,432,2824,100000000,30122424,4322824
48,0.132095,0.055065,23338310,0,0,15546983,10000,10000,5848,1273,0,0,444,2595,100000000,7444504,4442595
280,0.086031,0.035636,15008340,0,0,11615267,10000,10000,3906,855,0,0,449,4542,100000000,3339630,4494542
34,0.254728,0.107903,47092948,0,0,26914877,10000,10000,6698,2882,0,0,473,1115,100000000,19303636,4731115
265,0.081259,0.034757,15227014,0,0,12389341,10000,10000,8332,332,0,0,493,9016,100000000,2766224,4939016
132,0.070031,0.027942,11478116,0,0,10571219,10000,10000,3394,250,0,0,495,5415,100000000,848500,4955415
211,0.10298,0.043614,18835346,0,0,14475090,10000,10000,6178,673,0,0,542,1640,100000000,4157794,5421640
22,0.091655,0.039542,17869588,0,0,13070871,10000,10000,1695,2716,0,0,567,5481,100000000,4603620,5675481
170,0.059891,0.024765,9697302,0,0,9349226,10000,10000,89,2851,0,0,629,3224,100000000,253739,6293224
110,0.240471,0.101632,43983868,0,0,27162667,10000,10000,8874,1848,0,0,634,1730,100000000,16399152,6341730
209,0.067435,0.028391,13340412,0,0,11909360,10000,10000,704,1911,0,0,647,4923,100000000,1345344,6474923
270,0.319898,0.136237,59276440,0,0,34030800,10000,10000,7280,3369,0,0,662,2195,100000000,24526320,6622195
173,0.680123,0.288851,101509058,0,0,51979725,10000,10000,5966,8178,0,0,672,139,100000000,48789948,6720139
28,0.080341,0.031316,15321588,0,0,11324540,10000,10000,591,4921,0,0,721,1065,100000000,2908311,7211065
287,0.150315,0.063112,30203592,0,0,21658813,10000,10000,8569,965,0,0,725,5916,100000000,8269085,7255916
79,0.079796,0.031954,13208346,0,0,11802877,10000,10000,120,2900,0,0,732,771,100000000,348000,7320771
181,0.110163,0.046552,16790546,0,0,16205154,10000,10000,562,838,0,0,852,3004,100000000,470956,8523004
248,0.200499,0.084138,36032666,0,0,24232912,10000,10000,4202,2733,0,0,855,2438,100000000,11484066,8552438
11,0.11464,0.049090,21330690,0,0,18236501,10000,10000,2273,1274,0,0,867,4846,100000000,2895802,8674846
93,0.128266,0.055225,23447198,0,0,19950710,10000,10000,6388,519,0,0,867,6216,100000000,3315372,8676216
83,0.084634,0.036518,16074304,0,0,12730523,10000,10000,691,4611,0,0,870,4070,100000000,3186201,8704070
258,0.134166,0.055575,23020548,0,0,20174407,10000,10000,6941,394,0,0,901,8225,100000000,2734754,9018225
295,0.154926,0.065024,27776144,0,0,20531667,10000,10000,2475,2840,0,0,927,5347,100000000,7029000,9275347
127,0.216088,0.090567,37023098,0,0,25820377,10000,10000,4749,2281,0,0,946,5707,100000000,10832469,9465707
285,0.111551,0.046970,23405906,0,0,16405405,10000,10000,1364,5089,0,0,957,1667,100000000,6941396,9571667
161,0.157747,0.066852,24008330,0,0,21523033,10000,10000,5383,399,0,0,991,3285,100000000,2147817,9913285
56,0.303393,0.126840,54723334,0,0,32760226,10000,10000,4333,4933,0,0,1065,1138,100000000,21374689,10651138
208,0.24572,0.100962,41029866,0,0,29037917,10000,10000,5466,2000,0,0,1065,1918,100000000,10932000,10651918
222,0.054739,0.022155,10865104,0,0,10165551,10000,10000,72,5563,0,0,1066,2090,100000000,400536,10662090
288,0.088725,0.037437,20043072,0,0,16613400,10000,10000,832,3961,0,0,1091,2223,100000000,3295552,10912223
294,0.165774,0.070177,26789224,0,0,23805416,10000,10000,4802,545,0,0,1100,9203,100000000,2617090,11009203
137,0.2011,0.078129,28737812,0,0,25452049,10000,10000,6089,468,0,0,1162,5796,100000000,2849652,11625796
42,0.148103,0.064357,27004682,0,0,24290783,10000,10000,3566,723,0,0,1162,7405,100000000,2578218,11627405
193,0.157679,0.066033,27490936,0,0,25086071,10000,10000,5527,398,0,0,1180,9062,100000000,2199746,11809062
250,0.188008,0.077846,32563360,0,0,27429529,10000,10000,8096,591,0,0,1184,6408,100000000,4784736,11846408
136,0.226734,0.076490,25342122,0,0,24915057,10000,10000,789,229,0,0,1252,9451,100000000,180681,12529451
227,0.226776,0.092962,36447728,0,0,29771386,10000,10000,7798,824,0,0,1258,2855,100000000,6425552,12582855
96,0.202379,0.087160,36989222,0,0,30199793,10000,10000,6323,1064,0,0,1309,6648,100000000,6727672,13096648
1,0.199488,0.083103,30651984,0,0,28771509,10000,10000,282,5,0,0,1345,896,100000000,1410,13450896
263,0.17118,0.068059,26569338,0,0,26466723,10000,10000,62,249,0,0,1351,7101,100000000,15438,13517101
52,0.214086,0.089142,40537918,0,0,32122534,10000,10000,6504,1284,0,0,1359,7171,100000000,8351136,13597171
198,0.176231,0.075023,28610536,0,0,27777728,10000,10000,3634,108,0,0,1361,8086,100000000,392472,13618086
268,0.198221,0.084383,33646054,0,0,29066788,10000,10000,3943,1102,0,0,1375,7635,100000000,4345186,13757635
53,0.165541,0.071101,28634622,0,0,26271154,10000,10000,1227,1720,0,0,1443,4359,100000000,2110440,14434359
69,0.759122,0.323258,112564682,0,0,58105473,10000,10000,6138,8753,0,0,1460,1051,100000000,53725914,14601051
186,0.206917,0.086082,35231122,0,0,31597911,10000,10000,6660,545,0,0,1478,6381,100000000,3629700,14786381
8,0.152887,0.066197,31034610,0,0,28769749,10000,10000,1612,1192,0,0,1504,3707,100000000,1921504,15043707
10,0.153795,0.066041,28674352,0,0,27012157,10000,10000,700,1794,0,0,1544,3372,100000000,1255800,15443372
245,0.196129,0.082392,34368886,0,0,30183156,10000,10000,2378,1608,0,0,1548,6348,100000000,3823824,15486348
2,0.230388,0.098532,45502076,0,0,28623260,10000,10000,2583,6223,0,0,1554,1209,100000000,16074009,15541209
43,0.198244,0.085738,33403436,0,0,31721618,10000,10000,3556,401,0,0,1564,5499,100000000,1425956,15645499
146,0.463731,0.195586,83320918,0,0,51505750,10000,10000,7971,3986,0,0,1636,4750,100000000,31772406,16364750
64,0.275838,0.118055,50649804,0,0,32255266,10000,10000,2870,5814,0,0,1655,878,100000000,16686180,16550878
131,0.607794,0.255929,102040782,0,0,58970746,10000,10000,8239,5204,0,0,1657,1725,100000000,42875756,16571725
225,0.686639,0.288663,108863972,0,0,57803977,10000,10000,6312,7969,0,0,1659,902,100000000,50300328,16590902
293,0.243632,0.101004,39494510,0,0,35439131,10000,10000,5659,699,0,0,1686,8703,100000000,3955641,16868703
202,0.189009,0.079696,37002996,0,0,30572753,10000,10000,2197,2921,0,0,1704,6934,100000000,6417437,17046934
80,0.506925,0.200274,77699738,0,0,46583340,10000,10000,5622,5520,0,0,1725,3745,100000000,31033440,17253745
149,0.110287,0.046159,21013028,0,0,17664709,10000,10000,553,5936,0,0,1760,3794,100000000,3282608,17603794
144,0.189974,0.080770,37634332,0,0,29592536,10000,10000,1951,3999,0,0,1795,1779,100000000,7802049,17951779
180,0.156371,0.066899,28146378,0,0,27059851,10000,10000,237,3135,0,0,1891,3055,100000000,742995,18913055
266,0.480305,0.199087,80035714,0,0,50532835,10000,10000,6554,4471,0,0,1901,2447,100000000,29302934,19012447
45,0.314735,0.135924,58713090,0,0,44333980,10000,10000,6740,2133,0,0,1903,4630,100000000,14376420,19034630
233,0.227019,0.096059,38496122,0,0,37722351,10000,10000,728,338,0,0,1911,8296,100000000,246064,19118296
298,0.267453,0.110718,39372832,0,0,38499410,10000,10000,194,320,0,0,1943,2810,100000000,62080,19432810
217,0.231324,0.087717,37019310,0,0,33903468,10000,10000,1299,2178,0,0,1967,5971,100000000,2829222,19675971
204,0.328691,0.138206,57195134,0,0,38658071,10000,10000,3718,4924,0,0,1981,2966,100000000,18307432,19812966
104,0.289293,0.121638,42139354,0,0,39247822,10000,10000,2475,1005,0,0,2020,6224,100000000,2487375,20206224
169,0.225262,0.089651,41702078,0,0,40776537,10000,10000,2352,375,0,0,2069,9303,100000000,882000,20699303
160,0.1067,0.043942,18931028,0,0,13858925,10000,10000,439,7880,0,0,2071,819,100000000,3459320,20710819
286,0.328065,0.139620,55854954,0,0,45698632,10000,10000,6730,1458,0,0,2080,1714,100000000,9812340,20801714
86,0.265781,0.104135,38068098,0,0,37277124,10000,10000,489,1328,0,0,2103,3755,100000000,649392,21033755
39,0.344299,0.147255,58901176,0,0,47559619,10000,10000,6362,1758,0,0,2196,7402,100000000,11184396,21967402
90,0.280455,0.117567,46127848,0,0,45286824,10000,10000,2465,326,0,0,2296,9099,100000000,803590,22969099
71,0.286717,0.123486,54500140,0,0,44717800,10000,10000,3611,2430,0,0,2307,1432,100000000,8774730,23071432
113,0.250201,0.105117,45839808,0,0,42839990,10000,10000,1599,1504,0,0,2344,3117,100000000,2404896,23443117
66,0.403291,0.158211,74463076,0,0,54053919,10000,10000,6534,3062,0,0,2424,2244,100000000,20007108,24242244
232,0.309002,0.130303,50654988,0,0,49299913,10000,10000,2450,319,0,0,2475,9468,100000000,781550,24759468
252,0.289251,0.120641,48879396,0,0,46365375,10000,10000,1485,1261,0,0,2508,5756,100000000,1872585,25085756
105,0.343654,0.146007,57276490,0,0,51292516,10000,10000,5956,996,0,0,2515,6695,100000000,5932176,25156695
67,0.323271,0.134841,61019284,0,0,50071643,10000,10000,4516,2319,0,0,2546,3628,100000000,10472604,25463628
30,0.598741,0.215992,86703552,0,0,50793299,10000,10000,5053,7080,0,0,2547,1735,100000000,35775240,25471735
115,0.610493,0.250896,101358656,0,0,63416237,10000,10000,7189,5271,0,0,2692,3748,100000000,37893219,26923748
25,0.325575,0.141896,61332384,0,0,50788518,10000,10000,3838,2541,0,0,2697,2705,100000000,9752358,26972705
94,0.344824,0.147025,56157880,0,0,54753126,10000,10000,2920,187,0,0,2717,9547,100000000,546040,27179547
33,0.313344,0.134196,58913982,0,0,44536166,10000,10000,3019,4488,0,0,2735,1119,100000000,13549272,27351119
87,0.520463,0.201937,70555454,0,0,53264641,10000,10000,4677,3635,0,0,2825,2963,100000000,17000895,28252963
267,0.38687,0.163038,61674890,0,0,57378371,10000,10000,6936,619,0,0,2828,8629,100000000,4293384,28288629
191,0.385882,0.163167,60196586,0,0,57380464,10000,10000,6310,434,0,0,2851,6653,100000000,2738540,28516653
281,0.362723,0.153504,58110194,0,0,57349435,10000,10000,1549,120,0,0,2863,5034,100000000,185880,28635034
262,0.332951,0.102761,52977320,0,0,52842239,10000,10000,56,821,0,0,2870,6978,100000000,45976,28706978
50,0.291553,0.124968,60349510,0,0,57753360,10000,10000,3322,649,0,0,2948,8908,100000000,2155978,29488908
296,0.371217,0.148656,62058510,0,0,55996524,10000,10000,3542,1550,0,0,2954,3014,100000000,5490100,29543014
46,0.298622,0.127213,55891976,0,0,50734776,10000,10000,1905,2344,0,0,2976,1555,100000000,4465320,29761555
62,0.392831,0.150927,68282450,0,0,59921878,10000,10000,6167,1343,0,0,2977,5786,100000000,8282281,29775786
82,0.338307,0.144038,57828042,0,0,56448851,10000,10000,1567,764,0,0,2980,8569,100000000,1197188,29808569
153,0.397872,0.168746,61798696,0,0,59608958,10000,10000,4751,434,0,0,3000,8609,100000000,2061934,30008609
184,0.272341,0.114469,52796752,0,0,45968306,10000,10000,1836,3501,0,0,3010,4929,100000000,6427836,30104929
111,0.387732,0.121595,65606104,0,0,60677359,10000,10000,6045,780,0,0,3022,8444,100000000,4715100,30228444
61,0.322983,0.137119,58471994,0,0,51453397,10000,10000,2411,2806,0,0,3087,6434,100000000,6765266,30876434
134,0.581493,0.242007,92636014,0,0,51858044,10000,10000,4956,8227,0,0,3122,1608,100000000,40773012,31221608
81,0.378716,0.121374,59918282,0,0,59301659,10000,10000,981,620,0,0,3127,8130,100000000,608220,31278130
223,0.536197,0.221708,79771640,0,0,58400959,10000,10000,5024,4163,0,0,3171,2840,100000000,20914912,31712840
84,0.491253,0.207672,83414006,0,0,61530688,10000,10000,5704,3821,0,0,3207,4424,100000000,21794984,32074424
41,0.408086,0.174791,71232606,0,0,62050068,10000,10000,4976,1766,0,0,3209,7649,100000000,8787616,32097649
32,0.294607,0.113732,52091598,0,0,46357217,10000,10000,1500,3722,0,0,3234,5131,100000000,5583000,32345131
152,0.404189,0.171349,65966960,0,0,63770358,10000,10000,4020,487,0,0,3235,9087,100000000,1957740,32359087
205,0.491435,0.196343,72439404,0,0,63132070,10000,10000,5196,1715,0,0,3247,7725,100000000,8911140,32477725
92,0.376015,0.164364,65363992,0,0,62310035,10000,10000,2602,957,0,0,3275,8938,100000000,2490114,32758938
51,0.368466,0.158651,63853106,0,0,62580462,10000,10000,1362,787,0,0,3326,8144,100000000,1071894,33268144
185,0.437307,0.185894,67214044,0,0,67175279,10000,10000,597,54,0,0,3374,7078,100000000,32238,33747078
70,0.344556,0.149545,66477566,0,0,62133627,10000,10000,2886,1442,0,0,3375,8218,100000000,4161612,33758218
201,0.557823,0.235919,94946110,0,0,62186658,10000,10000,5685,5685,0,0,3409,358,100000000,32319225,34090358
40,0.439672,0.188904,67608346,0,0,67238316,10000,10000,5,290,0,0,3442,8880,100000000,1450,34428880
120,0.444933,0.188829,74692820,0,0,68245592,10000,10000,5236,1130,0,0,3483,1488,100000000,5916680,34831488
251,0.515195,0.208527,83239608,0,0,68939451,10000,10000,6490,2181,0,0,3493,4386,100000000,14154690,34934386
210,0.405604,0.171003,67434750,0,0,67236530,10000,10000,292,451,0,0,3509,8204,100000000,131692,35098204
129,0.420939,0.175222,70228236,0,0,68085925,10000,10000,2791,647,0,0,3524,8310,100000000,1805777,35248310
259,0.571548,0.237571,88594852,0,0,49901576,10000,10000,4567,8426,0,0,3558,299,100000000,38481542,35580299
155,0.487836,0.203444,75547104,0,0,71245211,10000,10000,6235,671,0,0,3587,4948,100000000,4183685,35874948
216,0.375526,0.151324,66579504,0,0,54040536,10000,10000,2742,4294,0,0,3636,131,100000000,11774148,36360131
162,0.453784,0.194425,78514064,0,0,72414065,10000,10000,6139,915,0,0,3649,2218,100000000,5617185,36492218
234,0.52943,0.218594,92190392,0,0,67217854,10000,10000,5869,4221,0,0,3654,2537,100000000,24773049,36542537
253,0.473902,0.195868,77697376,0,0,68637246,10000,10000,4569,1958,0,0,3703,5328,100000000,8946102,37035328
60,0.343024,0.138091,62560958,0,0,61993140,10000,10000,320,1749,0,0,3721,6968,100000000,559680,37216968
147,0.389413,0.167403,69844622,0,0,68210105,10000,10000,769,1134,0,0,3754,1075,100000000,872046,37541075
289,0.482634,0.197000,77599460,0,0,74044814,10000,10000,5256,669,0,0,3776,7451,100000000,3516264,37767451
57,0.444231,0.189784,77233502,0,0,50333248,10000,10000,3829,6973,0,0,3869,1164,100000000,26699617,38691164
95,0.381007,0.165300,66626152,0,0,65354400,10000,10000,667,1745,0,0,3880,8043,100000000,1163915,38808043
257,0.434345,0.170991,74586194,0,0,67875901,10000,10000,2564,2286,0,0,3964,543,100000000,5861304,39640543
21,0.268903,0.116332,47370838,0,0,36070640,10000,10000,1592,6929,0,0,4031,1988,100000000,11030968,40311988
244,0.288857,0.122469,54657920,0,0,43335872,10000,10000,1840,6088,0,0,4090,2741,100000000,11201920,40902741
159,0.404411,0.172164,76257590,0,0,59598858,10000,10000,3399,4775,0,0,4108,1654,100000000,16230225,41081654
239,0.522197,0.218979,85018700,0,0,82546189,10000,10000,5438,267,0,0,4113,896,100000000,1451946,41130896
19,0.54325,0.233351,85250684,0,0,81470088,10000,10000,5143,610,0,0,4136,3569,100000000,3137230,41363569
58,0.537859,0.212042,82241626,0,0,81825333,10000,10000,1757,220,0,0,4161,5778,100000000,386540,41615778
133,0.515789,0.214046,83501362,0,0,82151770,10000,10000,1513,329,0,0,4177,1144,100000000,497777,41771144
195,0.517095,0.219516,88181422,0,0,81685915,10000,10000,5692,1134,0,0,4239,7990,100000000,6454728,42397990
108,0.487886,0.202171,79513300,0,0,78766425,10000,10000,323,813,0,0,4245,6714,100000000,262599,42456714
117,0.468216,0.195678,81747798,0,0,58090495,10000,10000,3884,5960,0,0,4260,1935,100000000,23148640,42601935
206,0.346632,0.148149,63229432,0,0,56046076,10000,10000,1603,4268,0,0,4261,3046,100000000,6841604,42613046
44,0.528893,0.227072,86833190,0,0,83074100,10000,10000,4402,696,0,0,4261,8899,100000000,3063792,42618899
109,0.328155,0.139648,55187854,0,0,54836414,10000,10000,69,3674,0,0,4305,4751,100000000,253506,43054751
213,0.75921,0.248259,89927592,0,0,87015842,10000,10000,5358,327,0,0,4346,8841,100000000,1752066,43468841
240,0.586118,0.244300,89571498,0,0,86193550,10000,10000,4859,511,0,0,4363,2930,100000000,2482949,43632930
23,0.429789,0.184520,76942142,0,0,76356641,10000,10000,414,1390,0,0,4399,5780,100000000,575460,43995780
99,0.690593,0.291579,87548024,0,0,70003979,10000,10000,4043,4158,0,0,4489,739,100000000,16810794,44890739
261,0.537016,0.227787,84040120,0,0,81830213,10000,10000,1054,1168,0,0,4506,8654,100000000,1231072,45068654
188,0.615714,0.262001,99372436,0,0,72695132,10000,10000,5294,4914,0,0,4523,412,100000000,26014716,45230412
124,0.536608,0.217707,89222564,0,0,71925466,10000,10000,4356,3966,0,0,4525,5808,100000000,17275896,45255808
176,0.397639,0.167257,68492712,0,0,66702248,10000,10000,376,2870,0,0,4551,2710,100000000,1079120,45512710
189,0.535368,0.228264,88968272,0,0,85383396,10000,10000,3398,1041,0,0,4564,5819,100000000,3537318,45645819
29,0.594113,0.218918,86992330,0,0,82619406,10000,10000,2420,1456,0,0,4578,4230,100000000,3523520,45784230
150,0.542973,0.230831,95021168,0,0,80769149,10000,10000,4965,2781,0,0,4606,3244,100000000,13807665,46063244
